# STITCH 1	STITCH 2	Polypharmacy Side Effect	Side Effect Name
CID000003823	CID000003911	C0085682	Hypophosphataemia
CID000003823	CID000003911	C0039239	sinus tachycardia
CID000003823	CID000003911	C0085649	edema extremities
CID000003823	CID000003911	C0030252	palpitation
CID000003823	CID000003911	C0020461	Excess potassium
CID000003823	CID000003911	C0030312	bone marrow failure
CID000003823	CID000003911	C0003123	Anorexia
CID000003823	CID000003911	C0151970	esophageal ulcer
CID000003823	CID000003911	C0013144	drowsiness
CID000003823	CID000003911	C0013362	dysarthria
CID000003823	CID000003911	C0001126	renal tubular acidosis
CID000003823	CID000003911	C0042487	phlebothrombosis
CID000003823	CID000003911	C0040034	thrombocytopenia
CID000003823	CID000003911	C0019158	hepatitis
CID000003823	CID000003911	C0392699	dysaesthesia
CID000003823	CID000003911	C0011175	dehydration
CID000003823	CID000003911	C0018021	goiter
CID000003823	CID000003911	C0013404	Difficulty breathing
CID000003823	CID000003911	C0003850	arteriosclerosis
CID000003823	CID000003911	C0005001	benign prostatic hyperplasia
CID000003823	CID000003911	C0029408	Osteoarthritis
CID000003823	CID000003911	C0042963	emesis
CID000003823	CID000003911	C0015695	fatty liver
CID000003823	CID000003911	C0231528	aching muscles
CID000003823	CID000003911	C1442903	bone spur
CID000003823	CID000003911	C0020649	arterial pressure NOS decreased
CID000003823	CID000003911	C0220981	metabolic acidosis
CID000003823	CID000003911	C0025222	black stools
CID000003823	CID000003911	C0220983	metabolic alkalosis
CID000003823	CID000003911	C0018681	Head ache
CID000005556	CID000054454	C0497156	Adenopathy
CID000005556	CID000054454	C0231807	Dyspnea exertional
CID000005556	CID000054454	C0013456	ear ache
CID000005556	CID000054454	C0206504	tympanic membrane perforation
CID000005556	CID000054454	C0151636	Extrasystoles Ventricular
CID000005556	CID000054454	C0001418	adenocarcinoma
CID000005556	CID000054454	C1510472	Drug addiction
CID000005556	CID000054454	C0027051	heart attack
CID000005556	CID000054454	C0013182	Drug hypersensitivity
CID000005556	CID000054454	C0028084	nightmare
CID000005556	CID000054454	C0035854	acne rosacea
CID000005556	CID000054454	C0158986	hypoglycaemia neonatal
CID000005556	CID000054454	C0042024	Incontinence
CID000005556	CID000054454	C0456909	blindness
CID000005556	CID000054454	C0020538	High blood pressure
CID000005556	CID000054454	C0221706	road traffic accident
CID000005556	CID000054454	C0151825	bone pain
CID000005556	CID000054454	C0011884	Diabetic Retinopathy
CID000005556	CID000054454	C0005741	blepharitis
CID000005556	CID000054454	C0005747	Blepharospasm
CID000005556	CID000054454	C0003811	Arrhythmia
CID000005556	CID000054454	C0027796	Neuralgia
CID000005556	CID000054454	C0267596	haemorrhage rectum
CID000005556	CID000054454	C0008033	pleural pain
CID000005556	CID000054454	C0017168	acid reflux
CID000005556	CID000054454	C0085605	Hepatic failure
CID000005556	CID000054454	C0030193	Pain
CID000005556	CID000054454	C0030196	Extremity pain
CID000005556	CID000054454	C0011124	Decreased Libido
CID000005556	CID000054454	C0020505	hyperalimentation
CID000005556	CID000054454	C0080179	Spinal fracture
CID000005556	CID000054454	C0027497	nausea
CID000005556	CID000054454	C0039070	Fainting
CID000005556	CID000054454	C0342579	Electrolyte disorder
CID000005556	CID000054454	C0002170	alopecia
CID000005556	CID000054454	C0009763	conjunctivitis
CID000005556	CID000054454	C0398353	Hypoventilation
CID000005556	CID000054454	C0032300	lobar pneumonia
CID000005556	CID000054454	C0022658	disorder Renal
CID000005556	CID000054454	C0206062	ild
CID000005556	CID000054454	C0015672	Fatigue
CID000005556	CID000054454	C0020621	hypokalaemia
CID000005556	CID000054454	C0259768	wound dehiscence
CID000005556	CID000054454	C0020651	Hypotension Orthostatic
CID000005556	CID000054454	C0029456	osteoporosis
CID000005556	CID000054454	C0522055	abnormal ECG
CID000005556	CID000054454	C0038454	apoplexy
CID000005556	CID000054454	C0006444	bursitis
CID000005556	CID000054454	C0017574	gingivitis
CID000005556	CID000054454	C0032285	neumonia
CID000005556	CID000054454	C0037199	Sinusitis
CID000005556	CID000054454	C0242422	Parkinson
CID000005556	CID000054454	C0344232	blurred vision
CID000005556	CID000054454	C0242429	pain in throat
CID000005556	CID000054454	C0428977	bradycardia
CID000005556	CID000054454	C0086769	panic attack
CID000005556	CID000054454	C0026650	movement disorder
CID000005556	CID000054454	C0020456	hyperglycaemia
CID000005556	CID000054454	C0019112	haemorrhoids
CID000005556	CID000054454	C0020458	hyperhidrosis
CID000005556	CID000054454	C0020615	hypoglycaemia
CID000005556	CID000054454	C0012833	dizziness
CID000005556	CID000054454	C0024437	macula lutea degeneration
CID000005556	CID000054454	C0026858	musculoskeletal pain
CID000005556	CID000054454	C1260880	rhinorrhea
CID000005556	CID000054454	C0028734	nocturia
CID000005556	CID000054454	C0004093	asthenia
CID000005556	CID000054454	C0042571	spinning sensation
CID000005556	CID000054454	C0011991	diarrhea
CID000005556	CID000054454	C0037284	skin lesion
CID000005556	CID000054454	C0011849	Diabetes
CID000005556	CID000054454	C0006277	bronchitis
CID000005556	CID000054454	C0016199	flank pain
CID000005556	CID000054454	C0036572	convulsion
CID000005556	CID000054454	C0029443	osteomyelitis
CID000005556	CID000054454	C0033931	psychosomatic disease
CID000005556	CID000054454	C0151744	Cardiac ischemia
CID000005556	CID000054454	C1456784	paranoia
CID000005556	CID000054454	C0020443	elevated cholesterol
CID000005556	CID000054454	C0034065	Embolism pulmonary
CID000005556	CID000054454	C0042769	Infection Viral
CID000005556	CID000054454	C0035304	retinal degeneration
CID000005556	CID000054454	C0020040	hot flash
CID000005556	CID000054454	C0162529	colitis ischemic
CID000005556	CID000054454	C0152128	drug withdrawal
CID000005556	CID000054454	C0043094	weight gain
CID000005556	CID000054454	C0022346	icterus
CID000005556	CID000054454	C0162316	iron deficiency anaemia
CID000005556	CID000054454	C0878544	Cardiomyopathy
CID000005556	CID000054454	C0030554	Paraesthesia
CID000005556	CID000054454	C0011053	deafness
CID000005556	CID000054454	C0158252	intervertebral disc disorder
CID000005556	CID000054454	C0018965	blood in urine
CID000005556	CID000054454	C0015802	femur fracture
CID000005556	CID000054454	C0149756	fascitis plantar
CID000005556	CID000054454	C0149516	chronic sinusitis
CID000005556	CID000054454	C0149514	acute bronchitis
CID000005556	CID000054454	C0027769	nervous tension
CID000005556	CID000054454	C0041582	ulcer
CID000005556	CID000054454	C0019270	hernia
CID000005556	CID000054454	C0022661	Chronic Kidney Disease
CID000005556	CID000054454	C0152031	joint swelling
CID000005556	CID000054454	C0018790	asystole
CID000005556	CID000054454	C0021400	flu
CID000005556	CID000054454	C0007570	coeliac disease
CID000005556	CID000054454	C0242362	Intervertebral Disc Herniation
CID000005556	CID000054454	C0017601	glaucoma
CID000005556	CID000054454	C0497327	amentia
CID000005556	CID000054454	C0151766	Abnormal LFTs
CID000005556	CID000054454	C0013395	dyspepsia
CID000005556	CID000054454	C0039239	sinus tachycardia
CID000005556	CID000054454	C0030794	pain pelvic
CID000005556	CID000054454	C0035522	rib fracture
CID000005556	CID000054454	C0037383	sneezing
CID000005556	CID000054454	C0004096	asthma
CID000005556	CID000054454	C0030252	palpitation
CID000005556	CID000054454	C0311394	difficulty in walking
CID000005556	CID000054454	C0575090	balance disorder
CID000005556	CID000054454	C0277925	Cold extremities
CID000005556	CID000054454	C0011168	deglutition disorder
CID000005556	CID000054454	C0011206	acute brain syndrome
CID000005556	CID000054454	C0003123	Anorexia
CID000005556	CID000054454	C0149931	migraine
CID000005556	CID000054454	C0263912	rotator cuff syndrome
CID000005556	CID000054454	C0026946	fungal disease
CID000005556	CID000054454	C0021311	infection
CID000005556	CID000054454	C0018944	haematoma
CID000005556	CID000054454	C0035455	Rhinitis
CID000005556	CID000054454	C0042487	phlebothrombosis
CID000005556	CID000054454	C0021099	impetigo
CID000005556	CID000054454	C0149531	fractured pelvis NOS
CID000005556	CID000054454	C0027424	nasal congestion
CID000005556	CID000054454	C0040460	dental pain
CID000005556	CID000054454	C0003862	Aching joints
CID000005556	CID000054454	C0520474	aseptic necrosis bone
CID000005556	CID000054454	C0037315	sleep apnea
CID000005556	CID000054454	C0000731	abdominal distension
CID000005556	CID000054454	C0035078	kidney failure
CID000005556	CID000054454	C0011860	Mod
CID000005556	CID000054454	C0003850	arteriosclerosis
CID000005556	CID000054454	C0242453	prostatism
CID000005556	CID000054454	C0851578	sleep disorder
CID000005556	CID000054454	C0024117	chronic obstructive airway disease
CID000005556	CID000054454	C0265031	Bleeding hemorrhoids
CID000005556	CID000054454	C0003467	Anxiety
CID000005556	CID000054454	C0033975	psychoses
CID000005556	CID000054454	C0021141	ADH inappropriate
CID000005556	CID000054454	C0442874	neuropathy
CID000005556	CID000054454	C0085649	edema extremities
CID000005556	CID000054454	C0005586	bipolar disorder
CID000005556	CID000054454	C0041657	loss of consciousness
CID000005556	CID000054454	C0023518	leucocytosis
CID000005556	CID000054454	C0041912	Infection Upper Respiratory
CID000005556	CID000054454	C0020649	arterial pressure NOS decreased
CID000005556	CID000054454	C0006325	bruxism
CID000002156	CID000004411	C0041834	erythema
CID000002156	CID000004411	C0231807	Dyspnea exertional
CID000002156	CID000004411	C0030252	palpitation
CID000002156	CID000004411	C0878544	Cardiomyopathy
CID000002156	CID000004411	C0002994	angioedema
CID000002156	CID000004411	C0030552	muscle paresis
CID000002156	CID000004411	C0035455	Rhinitis
CID000002156	CID000004411	C0037199	Sinusitis
CID000002156	CID000004411	C0003811	Arrhythmia
CID000002156	CID000004411	C0037052	sick sinus syndrome
CID000002156	CID000004411	C0151904	Aspartate Aminotransferase Increase
CID000002156	CID000004411	C0022660	acute kidney failure
CID000002156	CID000004411	C0020433	Bilirubinaemia
CID000002156	CID000004411	C0039231	heart rate increased
CID000002156	CID000004411	C0020550	hyperthyroidism
CID000002156	CID000004411	C0037763	muscle spasm
CID000002156	CID000004411	C0018801	cardiac failure
CID000002156	CID000004411	C0002103	allergic rhinitis
CID000002156	CID000004411	C0010200	Cough
CID000002156	CID000004411	C1527344	dysphonia
CID000002156	CID000004411	C0018802	Cardiac decompensation
CID000002156	CID000004411	C0264906	atrioventricular block second degree
CID000002156	CID000004411	C0031350	pharyngeal inflammation
CID000002156	CID000004411	C0277925	Cold extremities
CID000002156	CID000004411	C0158986	hypoglycaemia neonatal
CID000002156	CID000004411	C0162429	malnourished
CID000002156	CID000004411	C0085614	Atrioventricular block first degree
CID000002156	CID000004411	C0001430	adenoma
CID000002156	CID000004411	C0020458	hyperhidrosis
CID000002156	CID000004411	C0428977	bradycardia
CID000002156	CID000004411	C0028081	night sweat
CID000002156	CID000004411	C0085610	sinus bradycardia
CID000002156	CID000004411	C0041912	Infection Upper Respiratory
CID000002156	CID000004411	C0012833	dizziness
CID000002156	CID000004411	C0014544	epilepsy
CID000002156	CID000004411	C0042769	Infection Viral
CID000002156	CID000004411	C0035078	kidney failure
CID000002156	CID000004411	C0011884	Diabetic Retinopathy
CID000002156	CID000004411	C0013404	Difficulty breathing
CID000002156	CID000004411	C0002871	anaemia
CID000002156	CID000004411	C0011860	Mod
CID000002156	CID000004411	C0178428	sinus arrest
CID000002156	CID000004411	C0004153	Atherosclerosis
CID000002156	CID000004411	C0750426	increased white blood cell count
CID000002156	CID000004411	C0002962	angina
CID000002156	CID000004411	C0005001	benign prostatic hyperplasia
CID000002156	CID000004411	C0013395	dyspepsia
CID000002156	CID000004411	C0008031	chest pain
CID000002156	CID000004411	C0008033	pleural pain
CID000002156	CID000004411	C0011849	Diabetes
CID000002156	CID000004411	C0006277	bronchitis
CID000002156	CID000004411	C0020542	pulmonary hypertension
CID000002156	CID000004411	C0003467	Anxiety
CID000002156	CID000004411	C0006849	candidiasis of mouth
CID000002156	CID000004411	C0030794	pain pelvic
CID000002156	CID000004411	C0017168	acid reflux
CID000002156	CID000004411	C0020598	Blood calcium decreased
CID000002156	CID000004411	C0020461	Excess potassium
CID000002156	CID000004411	C0006840	Candida Infection
CID000002156	CID000004411	C0242362	Intervertebral Disc Herniation
CID000002156	CID000004411	C0030196	Extremity pain
CID000002156	CID000004411	C0085631	agitated
CID000002156	CID000004411	C0026848	muscle disorder
CID000002156	CID000004411	C0010054	arteriosclerotic heart disease
CID000002156	CID000004411	C0085605	Hepatic failure
CID000002156	CID000004411	C0006384	bundle branch block
CID000002156	CID000004411	C0042514	tachycardia ventricular
CID000002156	CID000004411	C0027962	melanocytic naevus
CID000002156	CID000004411	C0026821	cramp
CID000002156	CID000004411	C0018799	cardiac disease
CID000002156	CID000004411	C0151744	Cardiac ischemia
CID000002156	CID000004411	C0231528	aching muscles
CID000002156	CID000004411	C0004238	AFIB
CID000002156	CID000004411	C0004239	atrial flutter
CID000002156	CID000004411	C0231218	Feeling unwell
CID000002156	CID000004411	C0036974	cardiovascular collapse
CID000002156	CID000004411	C0029878	external ear infection
CID000002156	CID000004411	C0035410	rhabdomyolysis
CID000002156	CID000004411	C0016382	facial flushing
CID000002156	CID000004411	C0009376	colonic polyp
CID000002156	CID000004411	C0020488	hypernatraemia
CID000002907	CID000003345	C0017152	gastric inflammation
CID000002907	CID000003345	C0012569	Diplopia
CID000002907	CID000003345	C0151636	Extrasystoles Ventricular
CID000002907	CID000003345	C0020433	Bilirubinaemia
CID000002907	CID000003345	C0015967	body temperature increased
CID000002907	CID000003345	C0020437	Blood Calcium Increased
CID000002907	CID000003345	C0151786	muscle weakness
CID000002907	CID000003345	C0456909	blindness
CID000002907	CID000003345	C0678222	Breast cancer
CID000002907	CID000003345	C0011880	diabetic acidosis
CID000002907	CID000003345	C0042109	hive
CID000002907	CID000003345	C0041909	upper gastrointestinal bleeding
CID000002907	CID000003345	C0005747	Blepharospasm
CID000002907	CID000003345	C0267596	haemorrhage rectum
CID000002907	CID000003345	C0008033	pleural pain
CID000002907	CID000003345	C0017168	acid reflux
CID000002907	CID000003345	C0036983	septic shock
CID000002907	CID000003345	C0030193	Pain
CID000002907	CID000003345	C0027022	MPD
CID000002907	CID000003345	C0019348	herpes simplex
CID000002907	CID000003345	C0027497	nausea
CID000002907	CID000003345	C0039070	Fainting
CID000002907	CID000003345	C0042420	syncope vasovagal
CID000002907	CID000003345	C0009763	conjunctivitis
CID000002907	CID000003345	C0428977	bradycardia
CID000002907	CID000003345	C0206062	ild
CID000002907	CID000003345	C0032227	Pleural Effusion
CID000002907	CID000003345	C0149871	deep vein thromboses
CID000002907	CID000003345	C0038395	streptococcal infection
CID000002907	CID000003345	C0003962	ascites
CID000002907	CID000003345	C0004144	atelectasis
CID000002907	CID000003345	C0032285	neumonia
CID000002907	CID000003345	C0037199	Sinusitis
CID000002907	CID000003345	C0085615	bundle branch block right
CID000002907	CID000003345	C0344232	blurred vision
CID000002907	CID000003345	C0085610	sinus bradycardia
CID000002907	CID000003345	C0010200	Cough
CID000002907	CID000003345	C0020456	hyperglycaemia
CID000002907	CID000003345	C0004030	aspergillosis
CID000002907	CID000003345	C0015672	Fatigue
CID000002907	CID000003345	C0023798	lipoma
CID000002907	CID000003345	C0042571	spinning sensation
CID000002907	CID000003345	C0028738	nystagmus
CID000002907	CID000003345	C0006277	bronchitis
CID000002907	CID000003345	C0034065	Embolism pulmonary
CID000002907	CID000003345	C0006849	candidiasis of mouth
CID000002907	CID000003345	C0017181	gastrointestinal bleed
CID000002907	CID000003345	C0006840	Candida Infection
CID000002907	CID000003345	C0034069	lung fibrosis
CID000002907	CID000003345	C0002792	anaphylactic reaction
CID000002907	CID000003345	C0013922	embolism
CID000002907	CID000003345	C0022408	arthropathy
CID000002907	CID000003345	C0024117	chronic obstructive airway disease
CID000002907	CID000003345	C0036974	cardiovascular collapse
CID000002907	CID000003345	C0010692	Bladder inflammation
CID000002907	CID000003345	C0016169	fistula
CID000002907	CID000003345	C0042384	angiitis
CID000002907	CID000003345	C0027441	nasopharyngitis
CID000002907	CID000003345	C0011615	allergic dermatitis
CID000002907	CID000003345	C0085636	Light sensitivity
CID000002907	CID000003345	C0030554	Paraesthesia
CID000002907	CID000003345	C0006266	bronchial spasm
CID000002907	CID000003345	C0018801	cardiac failure
CID000002907	CID000003345	C0018802	Cardiac decompensation
CID000002907	CID000003345	C0014335	enteritis
CID000002907	CID000003345	C0005961	bone marrow transplant
CID000002907	CID000003345	C0009938	bruise
CID000002907	CID000003345	C0149925	SCLC
CID000002907	CID000003345	C0035317	retinal bleeding
CID000002907	CID000003345	C0151825	bone pain
CID000002907	CID000003345	C0021400	flu
CID000002907	CID000003345	C0232492	abdominal pain upper
CID000002907	CID000003345	C0039231	heart rate increased
CID000002907	CID000003345	C0039239	sinus tachycardia
CID000002907	CID000003345	C0011609	dermatitis medicamentosa
CID000002907	CID000003345	C0030794	pain pelvic
CID000002907	CID000003345	C0040264	tinnitus
CID000002907	CID000003345	C1145670	respiratory failure
CID000002907	CID000003345	C0030312	bone marrow failure
CID000002907	CID000003345	C0151744	Cardiac ischemia
CID000002907	CID000003345	C0009319	colitis
CID000002907	CID000003345	C0036396	ischias
CID000002907	CID000003345	C0152027	sensory disturbance
CID000002907	CID000003345	C0023467	Acute myeloblastic leukemia
CID000002907	CID000003345	C0021311	infection
CID000002907	CID000003345	C0030305	pancreatitis
CID000002907	CID000003345	C0013362	dysarthria
CID000002907	CID000003345	C0018944	haematoma
CID000002907	CID000003345	C0009421	coma
CID000002907	CID000003345	C0020557	elevated triglycerides
CID000002907	CID000003345	C0027424	nasal congestion
CID000002907	CID000003345	C0040034	thrombocytopenia
CID000002907	CID000003345	C0271650	Glucose intolerance
CID000002907	CID000003345	C0019080	Bleeding
CID000002907	CID000003345	C0026764	Multiple Myeloma
CID000002907	CID000003345	C0027947	Neutropenia
CID000002907	CID000003345	C0151966	duodenal ulcer haemorrhage
CID000002907	CID000003345	C0043144	wheeze
CID000002907	CID000003345	C0011175	dehydration
CID000002907	CID000003345	C0000731	abdominal distension
CID000002907	CID000003345	C0000737	abdominal pain
CID000002907	CID000003345	C0013404	Difficulty breathing
CID000002907	CID000003345	C0010823	CMV infection
CID000002907	CID000003345	C0243026	sepsis
CID000002907	CID000003345	C1384666	Decreased hearing
CID000002907	CID000003345	C0024050	lower GI bleeding
CID000002907	CID000003345	C0021141	ADH inappropriate
CID000002907	CID000003345	C0442874	neuropathy
CID000002907	CID000003345	C0005826	blood pressure abnormal
CID000002907	CID000003345	C0023518	leucocytosis
CID000004192	CID000083786	C0040034	thrombocytopenia
CID000004192	CID000083786	C0023518	leucocytosis
CID000004192	CID000083786	C0009676	confusion
CID000004192	CID000083786	C0038454	apoplexy
CID000004192	CID000083786	C0022660	acute kidney failure
CID000004192	CID000083786	C0020458	hyperhidrosis
CID000004192	CID000083786	C0032285	neumonia
CID000004192	CID000083786	C0020538	High blood pressure
CID000004192	CID000083786	C0042487	phlebothrombosis
CID000004192	CID000083786	C0039231	heart rate increased
CID000004192	CID000083786	C0595939	still birth
CID000004192	CID000083786	C0018989	hemiparesis
CID000004192	CID000083786	C0021845	intestinal perforation
CID000004192	CID000083786	C0004238	AFIB
CID000004192	CID000083786	C0019080	Bleeding
CID000004192	CID000083786	C0000737	abdominal pain
CID000004192	CID000083786	C0018801	cardiac failure
CID000004192	CID000083786	C0242184	hypoxia
CID000004192	CID000083786	C0013404	Difficulty breathing
CID000004192	CID000083786	C0014549	Convulsions Grand Mal
CID000004192	CID000083786	C0243026	sepsis
CID000002907	CID000003348	C0007642	cellulitis
CID000002907	CID000003348	C0011615	allergic dermatitis
CID000002907	CID000003348	C0009806	constipated
CID000002907	CID000003348	C0032285	neumonia
CID000002907	CID000003348	C0037199	Sinusitis
CID000002907	CID000003348	C0027404	narcolepsy
CID000002907	CID000003348	C0085593	chill
CID000002907	CID000003348	C0010200	Cough
CID000002907	CID000003348	C0085655	polymyositis
CID000002907	CID000003348	C0040034	thrombocytopenia
CID000002907	CID000003348	C0042029	Infection Urinary Tract
CID000002907	CID000003348	C0016807	intestinal functional disorder
CID000002907	CID000003348	C0014335	enteritis
CID000002907	CID000003348	C0595939	still birth
CID000002907	CID000003348	C0011175	dehydration
CID000002907	CID000003348	C0012833	dizziness
CID000002907	CID000003348	C0035078	kidney failure
CID000002907	CID000003348	C0035522	rib fracture
CID000002907	CID000003348	C0002871	anaemia
CID000002907	CID000003348	C0004610	Bacteraemia
CID000002907	CID000003348	C0750426	increased white blood cell count
CID000002907	CID000003348	C0010823	CMV infection
CID000002907	CID000003348	C0040261	onychomycosis
CID000002907	CID000003348	C0004093	asthenia
CID000002907	CID000003348	C0243026	sepsis
CID000002907	CID000003348	C0008033	pleural pain
CID000002907	CID000003348	C0011991	diarrhea
CID000002907	CID000003348	C0042963	emesis
CID000002907	CID000003348	C0030193	Pain
CID000002907	CID000003348	C0030196	Extremity pain
CID000002907	CID000003348	C0699790	carcinoma of the colon
CID000002907	CID000003348	C0009319	colitis
CID000002907	CID000003348	C0027497	nausea
CID000002907	CID000003348	C0003123	Anorexia
CID000002907	CID000003348	C0042420	syncope vasovagal
CID000002907	CID000003348	C0002170	alopecia
CID000002907	CID000003348	C0041657	loss of consciousness
CID000002907	CID000003348	C0836924	increased platelet count
CID000002907	CID000003348	C0023518	leucocytosis
CID000002907	CID000003348	C0231528	aching muscles
CID000002907	CID000003348	C0004238	AFIB
CID000002907	CID000003348	C0023467	Acute myeloblastic leukemia
CID000002907	CID000003348	C0231218	Feeling unwell
CID000000838	CID000002617	C0004610	Bacteraemia
CID000000838	CID000002617	C0006444	bursitis
CID000000838	CID000002617	C0004144	atelectasis
CID000000838	CID000002617	C0311394	difficulty in walking
CID000000838	CID000002617	C0152086	traumatic arthropathy
CID000000838	CID000002617	C0005779	Clotting
CID000000838	CID000002617	C0032285	neumonia
CID000000838	CID000002617	C0085631	agitated
CID000000838	CID000002617	C0005758	bleb
CID000000838	CID000002617	C0001122	Acidosis
CID000000838	CID000002617	C0027059	myocarditis
CID000000838	CID000002617	C0018800	cardiac enlargement
CID000000838	CID000002617	C0085615	bundle branch block right
CID000000838	CID000002617	C0015967	body temperature increased
CID000000838	CID000002617	C0259768	wound dehiscence
CID000000838	CID000002617	C0038002	enlarged spleen
CID000000838	CID000002617	C0003578	Apnea
CID000000838	CID000002617	C0018824	cardiac valvulopathy
CID000000838	CID000002617	C0019209	enlarged liver
CID000000838	CID000002617	C0014868	esophagitis
CID000000838	CID000002617	C0019158	hepatitis
CID000000838	CID000002617	C0019080	Bleeding
CID000000838	CID000002617	C0020473	hyperlipaemia
CID000000838	CID000002617	C0039103	synovitis
CID000000838	CID000002617	C0428977	bradycardia
CID000000838	CID000002617	C0013604	edema
CID000000838	CID000002617	C0023895	disease of liver
CID000000838	CID000002617	C0043144	wheeze
CID000000838	CID000002617	C0575081	Abnormal Gait
CID000000838	CID000002617	C0022660	acute kidney failure
CID000000838	CID000002617	C0014118	endocarditis
CID000000838	CID000002617	C0018524	Hallucination
CID000000838	CID000002617	C0018790	asystole
CID000000838	CID000002617	C0151517	Atrioventricular block complete
CID000000838	CID000002617	C0007785	cerebral infarct
CID000000838	CID000002617	C0009241	cognitive disorder
CID000000838	CID000002617	C0020672	decreased body temperature
CID000000838	CID000002617	C0002871	anaemia
CID000000838	CID000002617	C0014549	Convulsions Grand Mal
CID000000838	CID000002617	C0042510	ventricular fibrillation
CID000000838	CID000002617	C0026858	musculoskeletal pain
CID000000838	CID000002617	C0232492	abdominal pain upper
CID000000838	CID000002617	C0004153	Atherosclerosis
CID000000838	CID000002617	C0003504	aortic regurgitation
CID000000838	CID000002617	C0003811	Arrhythmia
CID000000838	CID000002617	C0039231	heart rate increased
CID000000838	CID000002617	C0029408	Osteoarthritis
CID000000838	CID000002617	C0243026	sepsis
CID000000838	CID000002617	C0017086	gangrene
CID000000838	CID000002617	C0020443	elevated cholesterol
CID000000838	CID000002617	C0006277	bronchitis
CID000000838	CID000002617	C0020649	arterial pressure NOS decreased
CID000000838	CID000002617	C0036983	septic shock
CID000000838	CID000002617	C0017181	gastrointestinal bleed
CID000000838	CID000002617	C0022116	ischaemia
CID000000838	CID000002617	C0042514	tachycardia ventricular
CID000000838	CID000002617	C0020461	Excess potassium
CID000000838	CID000002617	C0041834	erythema
CID000000838	CID000002617	C0015695	fatty liver
CID000000838	CID000002617	C0035410	rhabdomyolysis
CID000000838	CID000002617	C0011168	deglutition disorder
CID000000838	CID000002617	C0020538	High blood pressure
CID000000838	CID000002617	C0032326	pneumothorax
CID000000838	CID000002617	C0020433	Bilirubinaemia
CID000000838	CID000002617	C0010200	Cough
CID000000838	CID000002617	C0011206	acute brain syndrome
CID000000838	CID000002617	C0041755	ADVERSE DRUG EFFECT
CID000000838	CID000002617	C0027080	myoglobinuria
CID000000838	CID000002617	C0035078	kidney failure
CID000000838	CID000002617	C0032300	lobar pneumonia
CID000000838	CID000002617	C0263912	rotator cuff syndrome
CID000000838	CID000002617	C0004238	AFIB
CID000000838	CID000002617	C0004239	atrial flutter
CID000000838	CID000002617	C1145670	respiratory failure
CID000000838	CID000002617	C0032227	Pleural Effusion
CID000000838	CID000002617	C0014457	Eosinophil Count Increased
CID000000838	CID000002617	C0220981	metabolic acidosis
CID000000838	CID000002617	C0034065	Embolism pulmonary
CID000000838	CID000002617	C0036974	cardiovascular collapse
CID000001986	CID000006691	C0035078	kidney failure
CID000001986	CID000006691	C0235896	lung infiltration
CID000001986	CID000006691	C0019080	Bleeding
CID000001986	CID000006691	C0027497	nausea
CID000001986	CID000006691	C0020456	hyperglycaemia
CID000001986	CID000006691	C0033774	itch
CID000001986	CID000006691	C0426636	defaecation urgency
CID000001986	CID000006691	C0032285	neumonia
CID000001986	CID000006691	C0011991	diarrhea
CID000001986	CID000006691	C0595939	still birth
CID000001986	CID000006691	C0013428	dysuria
CID000001986	CID000006691	C0016199	flank pain
CID000001986	CID000006691	C0018965	blood in urine
CID000001986	CID000006691	C0030305	pancreatitis
CID000001986	CID000006691	C0018800	cardiac enlargement
CID000001986	CID000006691	C0021311	infection
CID000001986	CID000006691	C0018802	Cardiac decompensation
CID000001986	CID000006691	C0149925	SCLC
CID000001986	CID000006691	C0043352	aptyalism
CID000001986	CID000006691	C1145670	respiratory failure
CID000001986	CID000006691	C0232492	abdominal pain upper
CID000004920	CID000083786	C0032285	neumonia
CID000004920	CID000083786	C0035258	Ekbom Syndrome
CID000004920	CID000083786	C0398353	Hypoventilation
CID000004920	CID000083786	C0019158	hepatitis
CID000004920	CID000083786	C0520474	aseptic necrosis bone
CID000004920	CID000083786	C0575081	Abnormal Gait
CID000004920	CID000083786	C0023890	cirrhosis
CID000004920	CID000083786	C0152031	joint swelling
CID000004920	CID000083786	C0040997	trigeminal neuralgia
CID000004920	CID000083786	C0027796	Neuralgia
CID000004920	CID000083786	C0020649	arterial pressure NOS decreased
CID000004920	CID000083786	C0917801	insomnia
CID000004920	CID000083786	C0004096	asthma
CID000004920	CID000083786	C0011991	diarrhea
CID000004920	CID000083786	C0085624	burning sensation
CID000004920	CID000083786	C0085649	edema extremities
CID000004920	CID000083786	C0037199	Sinusitis
CID000004920	CID000083786	C0029443	osteomyelitis
CID000004920	CID000083786	C0311394	difficulty in walking
CID000004920	CID000083786	C0030196	Extremity pain
CID000004920	CID000083786	C0020443	elevated cholesterol
CID000004920	CID000083786	C0040435	tooth disease
CID000004920	CID000083786	C0003467	Anxiety
CID000004920	CID000083786	C0231528	aching muscles
CID000004920	CID000083786	C0041755	ADVERSE DRUG EFFECT
CID000004920	CID000083786	C0040822	tremor
CID000004920	CID000083786	C0003862	Aching joints
CID000004920	CID000083786	C0041912	Infection Upper Respiratory
CID000004920	CID000083786	C0151786	muscle weakness
CID000004920	CID000083786	C0031117	neuropathy peripheral
CID000005478	CID006398525	C0011615	allergic dermatitis
CID000005478	CID006398525	C0043096	loss of weight
CID000005478	CID006398525	C0020538	High blood pressure
CID000005478	CID006398525	C0015230	eruption
